         15965678 function calls (15963447 primitive calls) in 6.718 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       17    0.000    0.000    0.011    0.001 <frozen importlib._bootstrap_external>:1171(create_module)
      272    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
       28    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
       58    0.000    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
       46    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        3    0.000    0.000    0.002    0.001 enum.py:475(_create_)
       50    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
       23    0.000    0.000    0.001    0.000 abc.py:105(__new__)
       38    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
      130    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      303    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.006    0.006 subprocess.py:10(<module>)
       10    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       64    0.000    0.000    0.000    0.000 enum.py:670(__new__)
    17/12    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1179(exec_module)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
        1    0.000    0.000    0.012    0.012 platform.py:3(<module>)
       48    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       28    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
       28    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       26    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pickle.py:1136(_Unpickler)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
      288    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      206    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      108    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
       23    0.000    0.000    0.003    0.000 overrides.py:223(decorator)
        1    0.000    0.000    0.002    0.002 ntpath.py:2(<module>)
       10    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
       56    0.000    0.000    0.000    0.000 linalg.py:135(_commonType)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
       23    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _add_newdocs_scalars.py:1(<module>)
       75    0.000    0.000    0.000    0.000 overrides.py:122(decorator)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
       46    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       48    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.generic' objects}
       84    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
        9    0.000    0.000    0.000    0.000 enum.py:582(_find_data_type)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
       49    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       56    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
       75    0.000    0.000    0.000    0.000 overrides.py:111(set_module)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
      138    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
       46    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       56    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
        1    0.000    0.000    0.000    0.000 numerictypes.py:442(_construct_lookups)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       24    0.000    0.000    0.000    0.000 numerictypes.py:515(_scalar_type_key)
       28    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:203(_add_array_type)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:757(create_module)
        7    0.000    0.000    0.000    0.000 getlimits.py:514(__init__)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
       40    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:46(<genexpr>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6230(refer_to_array_attribute)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       37    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
        3    0.000    0.000    0.002    0.001 enum.py:528(_convert_)
        1    0.000    0.000    0.000    0.000 core.py:2706(MaskedArray)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.010    0.010 py3k.py:1(<module>)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
       49    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
       48    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(det)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
      104    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1472(<genexpr>)
        8    0.000    0.000    0.000    0.000 _ufunc_config.py:32(seterr)
        1    0.000    0.000    0.005    0.005 secrets.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
        1    0.000    0.000    0.019    0.019 overrides.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:74(_add_types)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
       63    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 datetime.py:1594(datetime)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       15    0.000    0.000    0.000    0.000 arrayprint.py:468(wrapper)
       56    0.000    0.000    0.000    0.000 linalg.py:199(_assert_stacked_square)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
       28    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:130(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       39    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    6.571    6.571 sol4.py:152(main)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.009    0.009 defmatrix.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
        8    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(inv)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       30    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
