434
11906
         23381207 function calls (23378973 primitive calls) in 28.024 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 histograms.py:1(<module>)
      780    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
       13    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 ufunclike.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:6429(MaskedConstant)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:593(_validate_timestamp_pyc)
      108    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       46    0.000    0.000    0.000    0.000 enum.py:88(__setitem__)
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      284    0.000    0.000    0.000    0.000 function_base.py:443(_needs_add_docstring)
     3031    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       48    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(det)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      148    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
       50    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
      337    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      962    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.000    0.000 warnings.py:130(filterwarnings)
      330    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       37    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
       48    0.000    0.000    0.000    0.000 linalg.py:2104(det)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1534(_array_str_implementation)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        5    0.000    0.000    0.000    0.000 textwrap.py:414(dedent)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
       15    0.000    0.000    0.000    0.000 arrayprint.py:468(wrapper)
       26    0.000    0.000    0.000    0.000 core.py:6750(__init__)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
       26    0.000    0.000    0.000    0.000 core.py:6755(getdoc)
        1    0.000    0.000    0.000    0.000 numbers.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1597(path_hook_for_FileFinder)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1527(_guarded_repr_or_str)
      339    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
      412    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        5    0.000    0.000    0.000    0.000 re.py:203(sub)
       61    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
        3    0.000    0.000    0.000    0.000 enum.py:545(<listcomp>)
        1    0.000    0.000    0.000    0.000 contextlib.py:76(inner)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:354(_get_scalar_type_map)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
      912    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:492(__new__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:365(<dictcomp>)
     1015    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1030    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hashlib.py:5(<module>)
       52    0.000    0.000    0.000    0.000 core.py:889(__init__)
       83    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
       14    0.000    0.000    0.000    0.000 re.py:223(split)
      926    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       23    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      414    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
     1015    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      944    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       28    0.000    0.000    0.000    0.000 enum.py:977(__and__)
        6    0.000    0.000    0.000    0.000 numeric.py:2514(extend_all)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:523(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7f1976cc23a0}
        1    0.000    0.000    0.000    0.000 arraypad.py:1(<module>)
      348    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
      251    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1466(__init__)
       69    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      360    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 enum.py:221(<setcomp>)
       35    0.000    0.000    0.000    0.000 re.py:198(search)
      309    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      316    0.000    0.000    0.000    0.000 overrides.py:141(array_function_dispatch)
       13    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
      309    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 struct.py:1(<module>)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pathlib.py:653(PurePath)
       50    0.000    0.000    0.000    0.000 _internal.py:815(_ufunc_doc_signature_formatter)
      217    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
